Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. Ident,Acc. Len,Accession
CotH kinase family protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1046,1046,98%,0.0,64.51%,775,MBO7580675.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,1038,1038,96%,0.0,64.26%,792,MCR4957434.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,1037,1037,97%,0.0,64.16%,764,MBQ1702546.1
CotH kinase family protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1036,1036,98%,0.0,62.78%,801,MBQ2298768.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,1035,1035,98%,0.0,63.86%,785,MCR5643637.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,1034,1034,99%,0.0,63.77%,788,MCR4915068.1
CotH kinase family protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1030,1030,98%,0.0,63.44%,774,MBO7569179.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,1030,1030,98%,0.0,62.88%,799,MCR5679616.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,1027,1027,95%,0.0,64.19%,811,MCR5159467.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,1022,1022,95%,0.0,65.42%,784,MBQ8157915.1
CotH kinase family protein [Bacteroidales bacterium],Bacteroidales bacterium,,2030927,1017,1017,98%,0.0,61.64%,810,MBQ0020085.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,1015,1015,95%,0.0,64.28%,747,MBQ5507082.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,1008,1008,93%,0.0,65.96%,801,MBR6320066.1
hypothetical protein [Bacteroidales bacterium],Bacteroidales bacterium,,2030927,1006,1006,97%,0.0,62.14%,793,MBE6332129.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,1006,1006,93%,0.0,65.05%,798,MBP5340272.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,1005,1005,95%,0.0,63.35%,798,MBR0049983.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,1005,1005,93%,0.0,65.82%,806,MBQ4393246.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,1001,1001,95%,0.0,63.26%,796,MBR2235125.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,1000,1000,97%,0.0,62.64%,797,MBO4811400.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,999,999,95%,0.0,62.42%,785,MBQ7663551.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,997,997,95%,0.0,63.94%,768,MCR4602520.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,996,996,98%,0.0,61.25%,804,MBQ9356952.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,995,995,95%,0.0,62.68%,785,MBR4565830.1
CotH kinase family protein [Prevotella sp. E13-27],Prevotella sp. E13-27,,2938122,995,995,95%,0.0,62.55%,785,WP_248613241.1
CotH kinase family protein [Bacteroidales bacterium],Bacteroidales bacterium,,2030927,988,988,97%,0.0,60.75%,791,MCR5361489.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,978,978,97%,0.0,60.20%,766,MBR5061461.1
