Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. Ident,Acc. Len,Accession
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,507,507,98%,1e-177,67.95%,398,MBR4566400.1
hypothetical protein [Prevotella brevis],Prevotella brevis,,83231,506,506,99%,1e-177,70.88%,364,WP_155808494.1
hypothetical protein [Prevotella brevis],Prevotella brevis,,83231,504,504,99%,6e-177,70.59%,364,WP_155808793.1
hypothetical protein [Bacteroidales bacterium],Bacteroidales bacterium,,2030927,488,488,98%,2e-170,67.34%,379,MBQ1409141.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,485,485,98%,2e-169,67.72%,376,MBR2231764.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,451,451,80%,8e-158,84.25%,253,MBQ1625893.1
transposase [Prevotella sp.],Prevotella sp.,,59823,394,394,75%,6e-135,78.48%,261,MBR3472131.1
hypothetical protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,374,550,98%,2.0000000000000003e-124,81.60%,443,MBR4242589.1
hypothetical protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,372,550,98%,2.0000000000000003e-124,81.60%,403,MBR0201430.1
hypothetical protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,364,546,97%,4e-121,79.72%,412,MBR4533599.1
hypothetical protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,355,355,65%,3e-120,80.19%,246,MBR6128368.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,352,352,68%,5e-119,76.39%,216,MBO6234032.1
hypothetical protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,354,354,99%,6e-118,54.41%,349,MCQ2095745.1
hypothetical protein [Muribaculaceae bacterium],Muribaculaceae bacterium,,2498093,353,353,95%,2e-117,56.15%,360,MCQ2289585.1
hypothetical protein [Bacteroidales bacterium],Bacteroidales bacterium,,2030927,352,352,95%,2e-117,57.88%,343,MCI6476786.1
hypothetical protein [Bacteroidales bacterium],Bacteroidales bacterium,,2030927,351,351,99%,5e-117,56.35%,343,MCI6724603.1
transposase [Bacteroidales bacterium],Bacteroidales bacterium,,2030927,351,351,99%,6e-117,55.73%,343,MCI6103715.1
transposase [Bacteroidales bacterium],Bacteroidales bacterium,,2030927,350,350,99%,9e-117,55.73%,343,MCI7645808.1
hypothetical protein [Bacteroidales bacterium],Bacteroidales bacterium,,2030927,350,350,99%,1e-116,56.04%,343,MCI7037560.1
