Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. Ident,Acc. Len,Accession
hypothetical protein [Prevotella sp. P3-122],Prevotella sp. P3-122,,2024223,139,139,38%,2.0000000000000002e-29,37.68%,1423,WP_141210275.1
hypothetical protein CIL02_15380 [Prevotella sp. P3-122],Prevotella sp. P3-122,,2024223,139,139,38%,2.0000000000000002e-29,37.68%,1406,OYP57891.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,136,136,30%,6e-29,42.04%,992,MBD9230273.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,136,136,51%,6e-29,35.13%,737,MBO7591367.1
hypothetical protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,129,129,44%,1.0000000000000001e-28,35.03%,318,MBO4398352.1
hypothetical protein [Paraprevotella sp.],Paraprevotella sp.,,2049036,129,129,43%,2.0000000000000002e-28,34.06%,337,MBS4808513.1
Ig-like domain-containing protein [Prevotella sp.],Prevotella sp.,,59823,135,135,26%,2.0000000000000002e-28,44.32%,1269,MBR6828242.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,130,130,58%,5e-28,31.56%,451,MBR1395242.1
Ig-like domain-containing protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,132,132,25%,9e-28,41.67%,634,MBR3433797.1
hypothetical protein PC1C4_17720 [Paraprevotella clara],Paraprevotella clara,,454154,132,132,60%,1e-27,29.49%,718,BDI75050.1
DUF4957 domain-containing protein [Bacteroidales bacterium],Bacteroidales bacterium,,2030927,130,130,25%,1e-27,45.74%,564,MBP3258250.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,131,131,26%,2e-27,47.15%,763,MBR6828240.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,128,128,26%,5e-27,46.74%,501,MBO4607713.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,120,120,30%,9.999999999999999e-27,39.46%,217,MCR5680538.1
chitobiase/beta-hexosaminidase C-terminal domain-containing protein [Prevotellaceae bacterium],Prevotellaceae bacterium,,2049047,128,128,37%,1.9999999999999998e-26,35.64%,693,MCD8236100.1
leucine-rich repeat protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,128,128,39%,3e-26,36.04%,1218,MBO6126079.1
DUF4957 domain-containing protein [Prevotella sp.],Prevotella sp.,,59823,125,125,28%,7.999999999999999e-26,40.67%,576,MBR1504527.1
leucine-rich repeat protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,126,126,30%,1.9999999999999998e-25,39.17%,1406,MBR3433815.1
alginate lyase family protein [Prevotella sp.],Prevotella sp.,,59823,126,126,26%,1.9999999999999998e-25,40.40%,1279,MBR2114517.1
tyrosine-protein phosphatase [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,125,125,39%,1.9999999999999998e-25,36.62%,1217,MBQ9524175.1
hypothetical protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,124,124,33%,5e-25,33.05%,702,MBR1465749.1
leucine-rich repeat protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,124,124,30%,5e-25,39.17%,1413,MBO7120090.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,123,123,31%,6e-25,39.75%,708,MBR2184226.1
tyrosine-protein phosphatase [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,124,124,39%,8.999999999999998e-25,36.93%,1224,MBO4840597.1
leucine-rich repeat protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,123,123,39%,1.0000000000000001e-24,35.56%,1218,MBR1901369.1
