Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. Ident,Acc. Len,Accession
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,1123,1123,100%,0.0,78.36%,683,MCR5513777.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,1123,1123,99%,0.0,79.26%,681,MBR6121346.1
hypothetical protein [Bacteroidales bacterium],Bacteroidales bacterium,,2030927,1121,1121,100%,0.0,79.03%,681,MBP5213114.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,1120,1120,100%,0.0,78.69%,684,MCR4809816.1
hypothetical protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1120,1120,100%,0.0,79.18%,679,MBQ9525296.1
hypothetical protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1118,1118,100%,0.0,79.77%,679,MBO7099158.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,1117,1117,100%,0.0,79.01%,684,MBO4462825.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,1117,1117,100%,0.0,80.73%,684,MBR0049758.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,1115,1115,100%,0.0,79.33%,682,MBR1879854.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,1115,1115,100%,0.0,79.24%,683,MBR6180107.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,1115,1115,100%,0.0,79.24%,683,MBR4239124.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,1113,1113,100%,0.0,79.18%,682,MBO6191672.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,1112,1112,100%,0.0,78.96%,688,MBQ8157608.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,1110,1110,100%,0.0,81.32%,678,MBR6191083.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,1110,1110,100%,0.0,81.32%,678,MBQ3804975.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,1110,1110,99%,0.0,78.38%,684,MBE6261824.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,1109,1109,97%,0.0,80.12%,684,MBQ3752225.1
